trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
227,False,"{'a': 1, 'e': 0.1033121800831002}",20,13,14.331896856906184,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
228,False,"{'a': 1, 'e': 0.10228420671553744}",30,0,46.31224060250755,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",1
229,False,"{'a': 1, 'e': 0.1012664618538834}",25,11,24.59138127407852,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
230,False,"{'a': 1, 'e': 0.1002588437228037}",25,13,23.89030828710939,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
231,False,"{'a': 1, 'e': 0.09926125155964566}",20,13,10.216402525763202,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
232,False,"{'a': 1, 'e': 0.09827358560436154}",35,21,27.367380523089427,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
233,False,"{'a': 1, 'e': 0.09729574708953276}",30,11,35.99735468497497,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
234,False,"{'a': 1, 'e': 0.09632763823049303}",20,2,31.518992001124197,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
235,False,"{'a': 1, 'e': 0.09536916221554961}",20,0,29.918705117812557,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
236,False,"{'a': 1, 'e': 0.09442022319630235}",20,10,18.64225650167911,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
237,False,"{'a': 1, 'e': 0.09348072627805847}",20,10,18.722213318195998,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
238,False,"{'a': 1, 'e': 0.09255057751034329}",25,9,29.24240102978414,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
239,False,"{'a': 1, 'e': 0.09162968387750484}",20,10,18.688384113431148,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
240,False,"{'a': 1, 'e': 0.09071795328941251}",25,11,27.280226716286073,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
